index,選挙区名,議員氏名,別名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,読み方,会派,任期満了,＜正字＞
1,北海道,岩本 剛人,,@iwamoto_tsuyo,岩本つよひと,1726,377,,,,,いわもと つよひと,自民,令和7年7月28日,
2,北海道,勝部 賢志,,@katsubekenji,勝部けんじ(りっけん),1368,99,,,,,かつべ けんじ,立憲,令和7年7月28日,
3,北海道,高橋 はるみ,,@harumi_takahasi,参議院議員 高橋はるみ,1873,585,,,,,たかはし はるみ,自民,令和7年7月28日,
4,北海道,徳永 エリ,鈴木 エリ,@tokunaga_eri,徳永 エリ 参議院議員 北海道選出,4043,1165,,,,,とくなが えり,立憲,令和10年7月25日,
5,北海道,長谷川 岳,,@gaku_hasegawa,長谷川岳,2181,126,,,,,はせがわ がく,自民,令和10年7月25日,
6,北海道,船橋 利実,,@t_funahashi1020,ふなはし利実,1612,153,,,,,ふなはし としみつ,自民,令和10年7月25日,
7,青森県,滝沢 求,,@takisawamotome,滝沢求(もとめ),1581,8,,,,,たきさわ もとめ,自民,令和7年7月28日,
8,青森県,田名部 匡代,,@masayo_tanabu,田名部匡代（たなぶまさよ）,2662,315,,,,,たなぶ まさよ,立憲,令和10年7月25日,
9,岩手県,横沢 高徳,,@TeamYokosawa,参議院議員 横沢たかのり,4486,565,,,,,よこさわ たかのり,立憲,令和7年7月28日,
10,岩手県,広瀬 めぐみ,,@iwate2megumi,広瀬めぐみ＠自民党参議院議員,2570,702,,,,,ひろせ めぐみ,自民,令和10年7月25日,
11,宮城県,石垣 のりこ,小川 のり子,@norinotes,石垣のりこ,70000,409,,,,,いしがき のりこ,立憲,令和7年7月28日,
12,宮城県,櫻井 充,,@DrSakurai,桜井充,3300,1,@user-bc7nn1mc2p,桜井充チャンネル 〜新型コロナ解説中〜,464,64,さくらい みつる,自民,令和10年7月25日,
13,秋田県,寺田 静,,@teratashizuka,寺田 静 （参議院議員/秋田県選出）,4921,476,,,,,てらた しずか,無所属,令和7年7月28日,
14,秋田県,石井 浩郎,,@hirooishii6,石井浩郎,1973,83,,,,,いしい ひろお,自民,令和10年7月25日,
15,山形県,芳賀 道也,,@hagamichiya,はが道也（芳賀道也）＠山形,2034,776,,,,,はが みちや,民主,令和7年7月28日,
16,山形県,舟山 康江,,@yasue_funayama0,舟山やすえ(参議院議員),3624,327,,,,,ふなやま やすえ,民主,令和10年7月25日,
17,福島県,森 まさこ,三好 雅子,@morimasakosangi,森まさこ MORI Masako,52000,701,,,,,もり まさこ,自民,令和7年7月28日,
18,福島県,星 北斗,,@hoshihokuto_web,星北斗（ほしほくと）,820,124,,,,,ほし ほくと,自民,令和10年7月25日,
19,茨城県,小沼 巧,,@onuchan1221,おぬま たくみ・立憲民主党茨城県選出参議院議員,2558,329,,,,,おぬま たくみ,立憲,令和7年7月28日,
20,茨城県,上月 良祐,,@kozuki_ryosuke,上月良祐,1493,133,,,,,こうづき りょうすけ,自民,令和7年7月28日,
21,茨城県,加藤 明良,,@katoakiyoshi,加藤明良（かとう　あきよし）,1357,918,,,,,かとう あきよし,自民,令和10年7月25日,
22,茨城県,堂込 麻紀子,,@Dougomi_Makiko,堂込 まきこ @参議院議員茨城選挙区,1080,537,,,,,どうごみ まきこ,無所属,令和10年7月25日,
23,栃木県,高橋 克法,,,,,,@user-wy6ff7lb3x,参議院議員 高橋かつのりチャンネル,29,20,たかはし かつのり,自民,令和7年7月28日,
24,栃木県,上野 通子,,,,,,@user-hu2rd7fb3h,上野みちこチャンネル,14,1,うえの みちこ,自民,令和10年7月25日,
25,群馬県,清水 真人,,@shimizu_0310,清水真人,587,12,,,,,しみず まさと,自民,令和7年7月28日,
26,群馬県,中曽根 弘文,,@nakasonehirofu3,中曽根弘文【参議院議員/自民党/群馬県】元外務大臣・元文部大臣,1090,30,,,,,なかそね ひろふみ,自民,令和10年7月25日,
27,埼玉県,伊藤 岳,,@gaku_ito,伊藤岳,18000,8764,,,,,いとう がく,共産,令和7年7月28日,
28,埼玉県,熊谷 裕人,,@KumagaiHiroto,くまがい裕人@参議院議員（りっけん・埼玉県選挙区）,6167,5029,,,,,くまがい ひろと,立憲,令和7年7月28日,
29,埼玉県,古川 俊治,,,,,,@toshiharufurukawa6463,toshiharu furukawa,140,24,ふるかわ としはる,自民,令和7年7月28日,
30,埼玉県,矢倉 克夫,,@Yakura_Katsuo,矢倉かつお （参議院議員2期　予算委員会理事　埼玉選挙区）,14000,3033,,,,,やくら かつお,公明,令和7年7月28日,
31,埼玉県,上田 清司,,,,,,@user-pn2jd1tc8w,【参院埼玉選挙区候補　上田きよし】公式チャンネル,123,38,うえだ きよし,民主,令和10年7月25日,
32,埼玉県,関口 昌一,,@sekiguchi0229,関口まさかず,924,191,,,,,せきぐち まさかず,自民,令和10年7月25日,
33,埼玉県,高木 真理,,@TakagiMari,高木まり 参議院議員【立憲民主党 埼玉県】,2880,775,,,,,たかぎ まり,立憲,令和10年7月25日,
34,埼玉県,西田 実仁,,@m_nishida,西田まこと（参議院議員／党税制調査会長）,20000,443,,,,,にしだ まこと,公明,令和10年7月25日,
35,千葉県,石井 準一,,@Junichi141,石井　準一,883,0,,,,,いしい じゅんいち,自民,令和7年7月28日,
36,千葉県,豊田 俊郎,,@toyoda_toshiro,豊田俊郎,635,359,,,,,とよだ としろう,自民,令和7年7月28日,
37,千葉県,長浜 博行,,@nagahama1020,長浜ひろゆき 立憲民主党・りっけん（千葉県選挙区）,1394,166,,,,,ながはま ひろゆき,無所属,令和7年7月28日,
38,千葉県,猪口 邦子,,@kunikoinoguchi,猪口邦子 KunikoINOGUCHI.Ph.D,12000,728,,,,,いのぐち くにこ,自民,令和10年7月25日,
39,千葉県,臼井 正一,,@usuishoichi,参議院議員うすい正一(臼井正一),6086,126,@user-bb6kr8rr7v,うすい正一,299,63,うすい しょういち,自民,令和10年7月25日,
40,千葉県,小西 洋之,,@konishihiroyuki,小西ひろゆき （参議院議員),84000,3793,,,,,こにし ひろゆき,立憲,令和10年7月25日,
41,東京都,音喜多 駿,,@otokita,おときた駿（日本維新の会 政調会長・衆議院東京1区支部長）,82000,1010,@otokita_vlog,音喜多駿のブイログV-LOG!,42000,1514,おときた しゅん,維新,令和7年7月28日,
42,東京都,吉良 よし子,吉良 佳子,@kirayoshiko,吉良よし子,62000,2360,,,,,きら よしこ,共産,令和7年7月28日,
43,東京都,塩村 あやか,塩村 文夏,@shiomura,塩村あやか💙💛🐾参議院議員（りっけん）,49000,3217,,,,,しおむら あやか,立憲,令和7年7月28日,
44,東京都,武見 敬三,,@TakemiKeizo,武見 敬三（自民党 参議院議員・東京）,8868,248,,,,,たけみ けいぞう,自民,令和7年7月28日,
45,東京都,丸川 珠代,大塚 珠代,@marukawatamayo,丸川珠代,10000,7,,,,,まるかわ たまよ,自民,令和7年7月28日,＜正字＞
46,東京都,山口 那津男,,@yamaguchinatsuo,山口なつお,57000,1051,,,,,やまぐち なつお,公明,令和7年7月28日,
47,東京都,朝日 健太郎,,@kentaroasahi,朝日けんたろう（参議院議員　自民党　東京選挙区）,11000,716,,,,,あさひ けんたろう,自民,令和10年7月25日,
48,東京都,生稲 晃子,佐山 晃子,@ikuinaakiko1917,生稲晃子　いくいな晃子（参議院自民党・東京選挙区）,13000,584,,,,,いくいな あきこ,自民,令和10年7月25日,
49,東京都,竹谷 とし子,菊地 とし子,@t_takeya,竹谷とし子☆参議院議員☆公明党,32000,5859,,,,,たけや としこ,公明,令和10年7月25日,
