index,会派,選挙区名,議員氏名,別名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,読み方,任期満了
1,自民,比例,赤池 誠章,,@masaaki_akaike,赤池 誠章 (あかいけ まさあき),8293,477,@ma196110,赤池まさあき,113,4,あかいけ まさあき,令和7年7月28日
2,自民,比例,有村 治子,,@Arimura_haruko,有村治子（参議院議員・全国比例）,75000,136,,,,,ありむら はるこ,令和7年7月28日
3,自民,比例,石田 昌宏,,@Senator_ISHIDA,石田まさひろ : 看護師・参議院議員（比例・全国区）,6593,3148,,,,,いしだ まさひろ,令和7年7月28日
4,自民,比例,衛藤 晟一,,@etoseiichi,えとうせいいち(全国比例代表),2370,13,@etoseiichi,衛藤晟一参議院議員,482,221,えとう せいいち,令和7年7月28日
5,自民,比例,佐藤 信秋,,,,,,@satonobuakichannel,satonobuakichannel,64,11,さとう のぶあき,令和7年7月28日
6,自民,比例,佐藤 正久,,@SatoMasahisa,佐藤正久,525000,37000,,,,,さとう まさひさ,令和7年7月28日
7,自民,比例,山東 昭子,,,,,,,,,,さんとう あきこ,令和7年7月28日
8,自民,比例,田中 昌史,,@tanaka_masashi_,田中まさし,605,50,,,,,たなか まさし,令和7年7月28日
9,自民,比例,柘植 芳文,,,,,,,,,,つげ よしふみ,令和7年7月28日
10,自民,比例,中田 宏,,@NAKADAHiroshi,中田宏,106000,47,,,,,なかだ ひろし,令和7年7月28日
11,自民,比例,羽生田 俊,,@hanyuda_takashi,羽生田たかし （はにゅうだ たかし）,1385,0,,,,,はにゅうだ たかし,令和7年7月28日
12,自民,比例,橋本 聖子,石崎 聖子,@hashimoto_seiko,橋本聖子,2698,4,,,,,はしもと せいこ,令和7年7月28日
13,自民,比例,比嘉 奈津美,,@natsumikan1003,"参議院議員 比嘉奈津美(ひがなつみ)
",868,128,,,,,ひが なつみ,令和7年7月28日
14,自民,比例,本田 顕子,,@89314honda,本田あきこ（自民党 参議院議員 比例代表）,4264,275,,,,,ほんだ あきこ,令和7年7月28日
15,自民,比例,三浦 靖,,@yasushi_miura,三浦　靖（参議院議員）,879,37,,,,,みうら やすし,令和7年7月28日
16,自民,比例,宮崎 雅夫,,@MiyazakiSangiin,参議院議員　宮崎雅夫,501,2,,,,,みやざき まさお,令和7年7月28日
17,自民,比例,山田 太郎,,@yamadataro43,山田太郎 ⋈（参議院議員・全国比例）,103000,3000,,,,,やまだ たろう,令和7年7月28日
18,自民,比例,山田 俊男,,@toshio_yamada1,山田としお（参議院議員）,347,0,,,,,やまだ としお,令和7年7月28日
19,自民,比例,和田 政宗,,@wadamasamune,和田　政宗,315000,8465,,,,,わだ まさむね,令和7年7月28日
20,自民,比例,足立 敏之,,,,,,@user-tb6qn8vr5r,足立としゆき後援会,248,98,あだち としゆき,令和10年7月25日
21,自民,比例,阿達 雅志,,@adachi_masashi_,あだちまさし,926,67,,,,,あだち まさし,令和10年7月25日
22,自民,比例,青山 繁晴,,@aoyamashigeharu,青山繁晴,46000,72,@shigeharuaoyama,青山繁晴チャンネル・ぼくらの国会,508000,922,あおやま しげはる,令和10年7月25日
23,自民,比例,赤松 健,,@KenAkamatsu,赤松 健 ⋈（参議院議員・全国比例）,236000,1103,,,,,あかまつ けん,令和10年7月25日
24,自民,比例,井上 義行,,@inoue_yoshiyuki,井上よしゆき,6449,1889,,,,,いのうえ よしゆき,令和10年7月25日
25,自民,比例,今井 絵理子,,@Eriko_imai,今井絵理子,78000,408,,,,,いまい えりこ,令和10年7月25日
26,自民,比例,越智 俊之,,@toshiyuki_ochi,越智俊之,237,155,,,,,おち としゆき,令和10年7月25日
27,自民,比例,梶原 大介,,,,,,,,,,かじはら だいすけ,令和10年7月25日
