index,選挙区名,議員氏名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,home_page_url,生年月日,性別,任期満了,読み方,会派,当選回数,＜正字＞,,
1,岡山1,逢沢 一郎,@ichiroaisawa,あいさわ一郎,36800,2985,@user-fx3dk4ts5n,あいさわ一郎 公式チャンネル,254,20,https://www.aisawa.net/,1954年6月10日,1,,あいさわ いちろう,自民,12,,,
2,大阪14,青柳 仁士,@aoyagi_h,青柳仁士 衆議院議員＜維新＞,6859,149,,,,,,1978年11月7日,1,,あおやぎ ひとし,維新,1,,,
3,鳥取2,赤澤 亮正,@ryosei_akazawa,赤沢りょうせい,7330,1781,,,,,https://www.ryosei-akazawa.com/,1969年12月18日,1,,あかざわ りょうせい,自民,6,,,
4,兵庫2,赤羽 一嘉,@AKBhyogo2ku,赤羽かずよし　小選挙区兵庫２区（神戸市北区・兵庫区・長田区、西宮市山口支所および塩瀬支所管内）,15000,494,@akabakazuyoshi,赤羽かずよし,1840,67,https://www.akaba-now.com/,1958年5月7日,1,,あかば かずよし,公明,9,,,
5,神奈川14,あかま 二郎,@jiroakama0327,あかま二郎,454,41,,,,,,1968年3月27日,1,,あかま じろう,自民,5,,,
6,沖縄1,赤嶺 政賢,@akamineseiken,あかみね政賢,17900,2154,@user-qd1gc8jh8v,あかみね政賢,351,64,https://akamine-seiken.jp/,1947年12月18日,１,,あかみね せいけん,共産,8,,,
7,茨城5,浅野 哲,@Asano__Satoshi,浅野さとし🌿衆議院議員🌿国民民主党🌿茨城5区(日立市・高萩市・北茨城市・東海村),8968,704,@asano__satoshi,浅野さとし公式チャンネル,1680,368,https://www.asanosatoshi.com/,1982年9月25日,１,,あさの さとし,国民,2,,,
8,北海道6,東 国幹,@azuma0217,東　国幹,78,13,,,,,https://www.azumajapan.com/,1968年2月17日,１,,あずま くによし,自民,1,,,
9,宮城5,安住 淳,,,,,,,,,https://azumi-jun.jp/,1962年1月17日,１,,あずみ じゅん,立憲,9,,,
10,福岡8,麻生 太郎,@Aso_Tarou,麻生太郎,1130,58,,,,,http://www.aso-taro.jp/,1940年9月20日,１,,あそう たろう,自民,14,,,
11,大阪9,足立 康史,@adachiyasushi,足立康史 衆議院議員,182900,24,@adc83,あだチャン,63600,1000,,1965年10月14日,１,,あだち やすし,維新,4,,,
12,神奈川12,阿部 知子,@abe_tomoko,あべともこ（衆議院議員・神奈川１２区・立憲民主党,24700,132,,,,,http://www.abetomoko.jp/,1948年4月24日,２,,あべ ともこ,立憲,8,,,
13,沖縄2,新垣 邦男,@arakaki_kunio,新垣クニオ｜衆議院議員（沖縄2区）,1513,179,@arakaki_kunio,新垣クニオのYou中部チャンネル,83,41,https://arakaki-kunio.com/,1956年6月19日,１,,あらかき くにお,立憲,1,,,
14,大阪10,池下 卓,@iketaku_0410,池下卓＠衆議院議員【日本維新の会】,5887,509,@ikeshitataku,いけたくチャンネル,437,166,https://iketaku.jp/,1975年4月10日,１,,いけした たく,維新,1,,,
15,大阪6,伊佐 進一,@isashinichi,いさ進一　衆議院議員🍙,49700,26300,@isa1341ch,衆議院議員 いさ進一 チャンネル,18900,355,http://www.isa41.net/,1974年12月10日,1,,いさ しんいち,公明,4,,,
16,兵庫1,井坂 信彦,@isakanobuhiko,いさか信彦（衆議院選挙兵庫1区/神戸市中央区・灘区・東灘区）,5587,2741,,,,,https://isaka-nobuhiko.jp/,1974年3月27日,1,,いさか のぶひこ,立憲,3,,,
17,北海道11,石川 香織,@IshikawaKaori11,"
衆議院議員石川香織 @北海道11区（十勝）",8189,954,@Ch-di7el,石川かおりCh,357,73,https://ishikawa-kaori.net/,1984年5月10日,2,,いしかわ かおり,立憲,2,,,
18,和歌山2,石田 真敏,@ishidamasatoshi,石田真敏,361,4,,,,,https://ishida-masatoshi.net/,1952年4月11日,1,,いしだ まさとし,自民,8,,,
19,鳥取1,石破 茂,@shigeruishiba,石破茂,204800,48,,,,,https://www.ishiba.com/,1957年2月4日,1,,いしば しげる,自民,12,,,
20,京都3,泉 健太,@izmkenta,泉健太🌎立憲民主党代表,40800,1274,,,,,https://izumi-kenta.net/,1974年7月29日,1,,いずみ けんた,立憲,8,,,
21,兵庫6,市村 浩一郎,@ichimura_staff,市村浩一郎 (衆議院議員・日本維新の会・兵庫6区)【事務所staff】,396,388,,,,,https://instabio.cc/ichimurakoichiro,1964年7月16日,1,,いちむら こういちろう,維新,4,,,
22,長野3,井出 庸生,@yousei_ide,井出ようせい,5200,1652,@user-nn9jz2il4z,井出ようせいチャンネル,159,45,https://yousei-ide.com/,1977年11月21日,1,,いで ようせい,自民,4,,,
23,宮城4,伊藤 信太郎,@ShintaroIto205,伊藤 信太郎,2679,173,@itoshintarou,伊藤信太郎 チャンネル,52,53,https://www.ito-sintaro.jp//,1953年5月6日,1,,いとう しんたろう,自民,7,,,
24,愛知8,伊藤 忠彦,@tadahiko_itoh,伊藤 忠彦,1050,6,,,,,https://tadahiko-itoh.com/,1964年7月11日,1,,いとう ただひこ,自民,5,,,
25,東京22,伊藤 達也,@tatsuyaito0501,伊藤達也,3186,1907,@TATSUYAIT0,伊藤達也,168,131,https://www.tatsuyaito.com/,1961年7月6日,１,,いとう たつや,自民,9,,,
