index,選挙区名,議員氏名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,home_page_url,生年月日,性別,任期満了,読み方,会派,当選回数,＜正字＞,
1,南関東,青柳 陽一郎,@aoyagy,あおやぎ陽一郎（衆議院議員）,3531,510,@aoyagy,【公式】青柳陽一郎　あおチャンネル,201,30,https://aoyagy.net/,1969年8月29日,1,,あおやぎ よういちろう,立憲,4,,
2,東海,青山 周平,@ao_shu_office,あおやま周平@衆議院議員,3048,463,,,,,https://aoyama-shuhei.jp/,1977年4月28日,1,,あおやま しゅうへい,自民,4,,
3,北関東,青山 大人,@aoyamayamato,青山大人(あおやまやまと)衆議院議員＠茨城6区,4010,785,@aoyamayamato,【公式】衆議院議員青山大人,427,25,https://www.aoyamayamato.net/,1979年1月24日,1,,あおやま やまと,立憲,2,,
4,近畿,赤木 正幸,@akagimasayuki,赤木まさゆき（赤木正幸）,83,59,@user-qs8if7dm7v,赤木正幸,,1,https://akamasa.com/,1975年2月22日,1,,あかぎ まさゆき,維新,1,,
5,東北,秋葉 賢也,@akibakenya,秋葉賢也(あきばけんや),8694,204,@kenyaakiba,衆議院議員 秋葉賢也 Kenチャンネル !,175,84,,1962年7月3日,1,,あきば けんや,自民,7,,
6,南関東,秋本 真利,,,,,,,,,,1975年8月10日,1,,あきもと まさとし,無,4,,収賄容疑，外務政務官を辞任している23.08.04
7,南関東,浅川 義治,@asakawayosiharu,浅川義治|日本維新の会衆議院議員　神奈川1区(横浜市中区・磯子区・金沢区)神奈川維新の会幹事長,2538,1905,@user-ku6it1rl2m,あさちゃん【衆議院議員 浅川義治 日本維新の会 神奈川1区】,62,43,https://www.asakawayoshiharu.com/,1968年2月23日,1,,あさかわ よしはる,維新,1,,
8,中国,畦元 将吾,,,,,@user-si1hl5xq3u,あぜもとしょうご,4,0,https://azemoto.jp/,1958年4月30日,1,,あぜもと しょうご,自民,2,,
9,東京,阿部 司,@abe2kasa,阿部 司(衆議院議員/東京12区/日本維新の会),4238,1065,@abeccho,あべチャンネル【阿部司 公式チャンネル】【日本維新の会所属 衆議院議員】,1140,196,https://www.abetsukasa.jp/,1982年6月18日,1,,あべ つかさ,維新,1,,
10,中国,あべ 俊子,@abetoshiko,あべ俊子 Toshiko Abe ⚘,7570,519,@user-ik9rn6nk4o,あべ俊子事務所,182,56,https://www.abetoshiko.com/,1959年5月19日,2,,あべ としこ,自民,6,,
